Date,Adj Close,Close,High,Low,Open,Volume
2021-09-30,164.2519989013672,164.2519989013672,166.3925018310547,163.69949340820312,165.8000030517578,56848000
2021-10-01,164.16299438476562,164.16299438476562,165.45849609375,162.7969970703125,164.45050048828125,56712000
2021-10-04,159.48899841308594,159.48899841308594,163.99949645996094,158.8125,163.96949768066406,90462000
2021-10-05,161.0500030517578,161.0500030517578,163.0364990234375,160.1230010986328,160.22500610351562,65384000
2021-10-06,163.10049438476562,163.10049438476562,163.2169952392578,159.93099975585938,160.67649841308594,50660000
2021-10-07,165.1215057373047,165.1215057373047,166.28750610351562,164.1529998779297,164.57699584960938,48182000
2021-10-08,164.43099975585938,164.43099975585938,166.07150268554688,164.41000366210938,165.85000610351562,39964000
2021-10-11,162.31500244140625,162.31500244140625,164.62950134277344,161.90499877929688,163.75,40684000
2021-10-12,162.3665008544922,162.3665008544922,163.37649536132812,161.81399536132812,162.85000610351562,36392000
2021-10-13,164.21400451660156,164.21400451660156,164.41900634765625,163.05450439453125,163.48550415039062,48402000
2021-10-14,164.9929962158203,164.9929962158203,165.6300048828125,164.53900146484375,165.12249755859375,42190000
2021-10-15,170.4510040283203,170.4510040283203,170.52099609375,165.1999969482422,165.5709991455078,103598000
2021-10-18,172.33700561523438,172.33700561523438,172.45849609375,169.2550048828125,169.41799926757812,63482000
2021-10-19,172.20750427246094,172.20750427246094,172.7344970703125,171.10000610351562,171.71449279785156,47722000
2021-10-20,170.7530059814453,170.7530059814453,173.14300537109375,170.01849365234375,172.63299560546875,42796000
2021-10-21,171.75050354003906,171.75050354003906,172.01400756835938,170.14999389648438,170.71249389648438,37628000
2021-10-22,166.77749633789062,166.77749633789062,171.49200439453125,166.56500244140625,171.0500030517578,62782000
2021-10-25,166.01849365234375,166.01849365234375,167.38999938964844,164.88499450683594,166.75,44520000
2021-10-26,168.80349731445312,168.80349731445312,170.80599975585938,167.19900512695312,167.47549438476562,53966000
2021-10-27,169.62449645996094,169.62449645996094,171.85000610351562,168.57249450683594,169.39999389648438,54044000
2021-10-28,172.32850646972656,172.32850646972656,173.9499969482422,169.3000030517578,170.10499572753906,114174000
2021-10-29,168.6215057373047,168.6215057373047,168.74099731445312,163.66600036621094,165.00100708007812,129722000
2021-11-01,165.90550231933594,165.90550231933594,168.79299926757812,164.6009979248047,168.08999633789062,72178000
2021-11-02,165.6374969482422,165.6374969482422,166.55599975585938,164.17750549316406,165.75050354003906,52552000
2021-11-03,169.1999969482422,169.1999969482422,169.74600219726562,164.87600708007812,165.4499969482422,67944000
